RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,RSI,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,RSI_Level
51,129,73,100,9.81,9.05,9.06,92,12,1.94,6,1.91,1.75,5.39,0.77,1.24,59,13.0078,9.05,3.66,4.8,5.2,3.8,4.4,1.6,1.3,1.4,2.5,0.317,11.5,144.3333333,51.21398497,6.66802249,3564.964528,6912.16,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
65,120,71,94,8.62,7.82,8.32,91,16,0,5,2.02,1.22,4.58,0.81,0,42,17.4609,7.82,3.24,3.2,3.8,3.5,3.3,3.4,2.9,2.7,3.2,0.361,262.2,134.75,50.78710977,5.621265735,3153.177937,5867.73,2
52,107,83,85,8.14,7.22,8.46,89,11,13.52,3,2.22,1.88,3.12,0.93,1.5,67,15.4517,8.05,4.1,2.2,4,3.3,2,3.4,2.7,1.8,1.8,0.385,524.5,503.025,65.54173713,6.957863688,7911.030219,6269.154,2
53,51,76,76,8.86,6.99,9.25,79,27,3.35,8,2.02,1.99,2.98,1.88,1.53,41,14.0039,6.99,4.01,3.4,4.3,3.5,3.2,1.6,2.1,2.9,2.7,0.279,0,221.45,47.73114698,7.21912625,6738.873356,6742.74,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
50,169,92,79,6.91,6.17,7.8,89,13,0,7,1.49,1.51,3.17,0.75,0.05,56,16.6406,6.17,3,4.2,3.5,2.7,3.2,1.8,1.7,3.9,3.1,0.358,59,128.4166667,41.89626181,5.490970287,2742.839171,5128.18,1
56,78,89,80,7.79,7.2,8.96,92,12,1.91,5,2.52,1.66,3.01,0.6,1.19,65,17.8125,7.2,4.18,1.8,2,2.1,2,3.3,2.9,2.3,1.8,0.327,466.7,377.35,52.83783457,7.806724085,9073.040011,6841.34,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
67,67,67,93,9.44,8.63,9.29,91,14,0,8,2.49,1.45,4.69,0.82,1.39,70.9,17.6367,8.63,3.94,1.6,2.5,2.5,2.5,3.8,2.7,3,3.6,0.357,1987.75,692.8,78.23056932,7.07795077,17207.34002,6909.23,1
52,155,94,74,7.39,6.66,8.94,90,19,0,5,2.28,1.41,2.97,0.75,0.79,74,13.9453,6.66,3.69,4.3,4.3,4,4.9,3.1,2.5,2.6,3,0.378,201.7,131.7083333,51.87544444,4.025412042,4490.694748,6325.76,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
45,129,70,65,5.18,5.07,7.79,98,4.3,0,3,1.53,1.35,2.19,0.12,0,64,12.2461,5.07,2.88,2.3,3.3,2.2,1.9,3.5,3.2,4,4,0.334,782,627.0666667,54.14667795,8.440518175,9980.459619,6998.17,1
53,83,55,45,3.96,3.7,8.22,93,6,2.87,2,1.64,0.96,1.1,0.27,0,53.6,17.2266,3.7,2.6,2.1,2.7,2,2.2,3.3,2.5,3.9,3.9,0.332,2192.9,598.3666667,80.34257088,10.83237654,15111.94153,6242.27,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53,103,64,45,5.15,4,8.94,78,11,0,2,2.09,1.17,0.73,1.16,0.74,75,16.2305,4,3.26,3.5,3.8,3.4,3.1,2,2,3.1,2.9,0.398,0,230.275,58.83214673,5.663327796,7077.924904,6387.42,2
60,55,77,53,7.79,4.74,8.92,61,23,0,7,1.21,0.9,2.63,3.06,1.18,62,14.8242,4.74,2.11,2.4,2.2,1.8,2.4,3.6,3.1,2.6,2.8,0.304,621.1,537.2916667,28.02475822,7.81733313,6126.353633,6250.48,0
69,66,43,100,9.58,8.42,8.29,88,16,0,6,2.98,1.83,3.62,1.17,0,58.3,18.0469,8.42,4.81,2.9,3,3.2,3,3.3,3,2.7,4.3,0.319,360.3,146.7583333,51.33242592,4.272292502,3207.630064,6113.28,0
50,158,80,72,7.73,6.17,8.56,80,19,5.29,5,1.35,1.18,3.64,1.57,0.81,66,17.0435,6.17,2.53,3.1,3.2,2.6,3.1,3.1,2.5,3.5,3.6,0.395,207,166.875,48.49208524,6.005743411,4574.405096,6120.14,2
57,79,90,98,9.31,8.56,8.75,92,14,0,6,3,1.36,4.2,0.76,0.99,67,17.5781,8.56,4.36,3.9,2.9,2.4,3.1,1.8,2.7,4.2,3.1,0.35,146,101.3333333,51.04278716,4.82982135,3403.212133,5971.56,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
70,55,48,69,5.17,4.64,6.75,90,9,1.43,4,1.36,0.83,2.45,0.54,0.35,39.4,18.0469,6.03,2.19,2.3,2.8,3,1.9,1.7,2.1,3.3,3.3,0.306,0,159.4666667,3.629574272,9.263590291,10978.77353,6211.1,0
60,119,59,69,7.38,6.3,9.12,85,21,3.36,5,1.38,1.08,3.85,1.09,1.28,77,14.4141,6.3,2.46,4.9,5.9,6,5.2,1.5,1.3,1,1.1,0.376,0,153.375,34.12671416,5.909341842,6981.725199,5758.32,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
47,132,76,75,7.67,7.27,9.69,95,8,0,5,1.84,1.84,3.58,0.41,1.35,50,12.1094,7.27,3.68,2.3,3.9,3.7,2.1,1.2,1.8,3.1,3.2,0.308,0,266.65,12.89267311,9.99592071,9368.362901,7357.37,0
55,87,69,71,8.07,7.63,10.72,95,12,0,5,2.64,1.2,3.79,0.45,2.1,57.7,17.1387,7.63,3.84,4.1,3.6,3.6,3,2,2,2.8,3.4,0.331,14,121.2,51.59378061,5.009178013,2891.307089,6008.04,1
68,96,43,51,4.92,4.58,8.94,93,8,0,4,1.44,0.51,2.63,0.35,0.3,22,17.8711,4.58,1.95,2.1,3.7,3.4,2.3,1.4,1.9,3.6,3.9,0.332,32,147.7666667,18.58041111,9.582499397,6904.061596,6343.63,1
52,92,67,76,8.97,8.04,10.59,90,12,2.87,7,1.85,1.6,4.59,0.94,2.11,69,14.9121,8.04,3.45,4.1,4,4.1,4.2,1.8,2.1,2.4,2.8,0.397,0,198.5,48.50216839,6.935686262,3813.590252,7449.84,2
55,48,65,60,7.66,6.38,10.63,83,25,0,5,1.05,1.47,3.86,1.29,1.8,71,13.8867,6.38,2.52,4.9,5.6,4,5.3,1.7,1.6,1.5,1.9,0.39,166.5,224.75,46.52585797,6.804824121,3977.657906,7159.83,2
66,73,52,97,8.75,8.03,8.29,92,13,2.87,9,3.51,1.48,3.05,0.73,0,73.3,17.6953,8.03,4.99,4.2,4.4,3.6,3.3,2.8,2.1,3.6,4.5,0.369,266.7,201.0583333,93.5708126,2.420835159,1320.381743,5789.27,2
59,100,33,92,9.45,8.9,9.63,94,12.6,0,8,3.03,1.45,4.42,0.56,1.07,70,16.582,8.9,4.48,3.7,3.9,3.4,3.1,2,2.1,3.2,2,0.374,14,113.9,53.99079843,4.630715802,3679.394325,6344.1,2
